start,end,prox_eps,prox_pmin,prox_pmax,prox_length,chewing_gt,date_exp
2019-03-26 10:00:00.570000-05:00,2019-03-26 10:00:04.120000-05:00,0.33333333333333326,750,1000,5,0,0
2019-03-26 10:00:05.720000-05:00,2019-03-26 10:00:10.120000-05:00,0.33333333333333326,750,1000,6,0,0
2019-03-26 10:00:05.720000-05:00,2019-03-26 10:00:10.320000-05:00,0.46666666666666656,750,1100,6,0,0
2019-03-26 10:00:06.770000-05:00,2019-03-26 10:00:10.720000-05:00,0.5,600,900,6,0,0
2019-03-26 10:00:15.270000-05:00,2019-03-26 10:00:18.170000-05:00,0.41666666666666674,600,850,5,0,0
2019-03-26 10:00:15.270000-05:00,2019-03-26 10:00:19.220000-05:00,0.46666666666666656,750,1100,5,0,0
2019-03-26 10:00:25.170000-05:00,2019-03-26 10:00:32.920000-05:00,0.5384615384615385,650,1000,10,0,0
2019-03-26 10:00:25.170000-05:00,2019-03-26 10:00:29.770000-05:00,0.25,800,1000,6,0,0
2019-03-26 10:00:28.270000-05:00,2019-03-26 10:00:31.220000-05:00,0.23076923076923084,650,800,5,0,0
2019-03-26 10:00:28.270000-05:00,2019-03-26 10:00:32.920000-05:00,0.3846153846153846,650,900,7,0,0
2019-03-26 10:00:30.120000-05:00,2019-03-26 10:00:45.620000-05:00,0.46666666666666656,750,1100,18,0,0
2019-03-26 10:00:31.420000-05:00,2019-03-26 10:00:35.620000-05:00,0.4545454545454546,550,800,7,0,0
2019-03-26 10:00:33.420000-05:00,2019-03-26 10:00:43.370000-05:00,0.5,600,900,14,0,0
2019-03-26 10:00:33.420000-05:00,2019-03-26 10:00:42.770000-05:00,0.5384615384615385,650,1000,13,0,0
2019-03-26 10:00:36.570000-05:00,2019-03-26 10:00:40.870000-05:00,0.4545454545454546,550,800,7,0,0
2019-03-26 10:00:36.770000-05:00,2019-03-26 10:00:40.070000-05:00,0.33333333333333326,450,600,7,0,0
2019-03-26 10:00:36.770000-05:00,2019-03-26 10:00:40.070000-05:00,0.4444444444444444,450,650,7,0,0
2019-03-26 10:00:36.770000-05:00,2019-03-26 10:00:44.620000-05:00,0.5,500,750,13,0,0
2019-03-26 10:00:43.870000-05:00,2019-03-26 10:00:53.420000-05:00,0.5,600,900,14,0,0
2019-03-26 10:00:43.870000-05:00,2019-03-26 10:00:47.870000-05:00,0.46153846153846145,650,950,6,0,0
2019-03-26 10:00:47.070000-05:00,2019-03-26 10:00:50.520000-05:00,0.33333333333333326,600,800,6,0,0
2019-03-26 10:00:47.870000-05:00,2019-03-26 10:00:53.420000-05:00,0.5,500,750,10,0,0
2019-03-26 10:00:48.620000-05:00,2019-03-26 10:00:53.420000-05:00,0.3999999999999999,500,700,9,0,0
2019-03-26 10:00:49.320000-05:00,2019-03-26 10:00:51.420000-05:00,0.5,400,600,5,0,0
2019-03-26 10:00:53.420000-05:00,2019-03-26 10:00:57.670000-05:00,0.46153846153846145,650,950,6,0,0
2019-03-26 10:00:54.370000-05:00,2019-03-26 10:00:57.670000-05:00,0.3846153846153846,650,900,5,0,0
