start,end,prox_eps,prox_pmin,prox_pmax,prox_length,chewing_gt,date_exp
2019-01-12 09:01:53.040000-06:00,2019-01-12 09:01:55.190000-06:00,0.4444444444444444,450,650,5,0,0
2019-01-12 09:01:56.540000-06:00,2019-01-12 09:02:30.290000-06:00,0.46666666666666656,750,1100,37,0,0
2019-01-12 09:01:57.640000-06:00,2019-01-12 09:02:10.040000-06:00,0.5,600,900,18,0,0
2019-01-12 09:01:57.640000-06:00,2019-01-12 09:02:15.540000-06:00,0.5384615384615385,650,1000,23,0,0
2019-01-12 09:01:59.390000-06:00,2019-01-12 09:02:10.990000-06:00,0.5555555555555556,450,700,20,0,0
2019-01-12 09:02:00.190000-06:00,2019-01-12 09:02:02.440000-06:00,0.375,400,550,6,0,0
2019-01-12 09:02:00.490000-06:00,2019-01-12 09:02:10.990000-06:00,0.5,500,750,18,0,0
2019-01-12 09:02:02.040000-06:00,2019-01-12 09:02:10.040000-06:00,0.4545454545454546,550,800,13,0,0
2019-01-12 09:02:03.790000-06:00,2019-01-12 09:02:05.940000-06:00,0.10000000000000009,500,550,5,0,0
2019-01-12 09:02:10.190000-06:00,2019-01-12 09:02:15.540000-06:00,0.4545454545454546,550,800,9,0,0
2019-01-12 09:02:10.190000-06:00,2019-01-12 09:02:15.540000-06:00,0.5,600,900,8,0,0
2019-01-12 09:02:12.590000-06:00,2019-01-12 09:02:15.540000-06:00,0.18181818181818188,550,650,6,0,0
2019-01-12 09:02:16.640000-06:00,2019-01-12 09:02:28.090000-06:00,0.5555555555555556,450,700,21,0,0
2019-01-12 09:02:16.640000-06:00,2019-01-12 09:02:23.740000-06:00,0.36363636363636354,550,750,12,0,0
2019-01-12 09:02:16.640000-06:00,2019-01-12 09:02:23.740000-06:00,0.5,600,900,11,0,0
2019-01-12 09:02:16.640000-06:00,2019-01-12 09:02:33.790000-06:00,0.5384615384615385,650,1000,22,0,0
2019-01-12 09:02:16.840000-06:00,2019-01-12 09:02:29.540000-06:00,0.5,400,600,26,0,0
2019-01-12 09:02:24.190000-06:00,2019-01-12 09:02:30.290000-06:00,0.5,500,750,11,0,0
2019-01-12 09:02:24.190000-06:00,2019-01-12 09:02:27.740000-06:00,0.18181818181818188,550,650,7,0,0
2019-01-12 09:02:25.190000-06:00,2019-01-12 09:02:30.290000-06:00,0.41666666666666674,600,850,8,0,0
2019-01-12 09:02:33.790000-06:00,2019-01-12 09:02:36.040000-06:00,0.19999999999999996,500,600,5,0,0
2019-01-12 09:02:33.790000-06:00,2019-01-12 09:02:38.490000-06:00,0.30000000000000004,500,650,9,0,0
2019-01-12 09:02:33.790000-06:00,2019-01-12 09:02:38.790000-06:00,0.41666666666666674,600,850,8,0,0
2019-01-12 09:02:34.390000-06:00,2019-01-12 09:02:37.540000-06:00,0.46153846153846145,650,950,5,0,0
2019-01-12 09:02:35.490000-06:00,2019-01-12 09:02:38.490000-06:00,0.18181818181818188,550,650,6,0,0
2019-01-12 09:02:40.040000-06:00,2019-01-12 09:02:44.790000-06:00,0.375,800,1100,6,0,0
2019-01-12 09:02:41.140000-06:00,2019-01-12 09:02:43.890000-06:00,0.5555555555555556,450,700,6,0,0
2019-01-12 09:02:41.140000-06:00,2019-01-12 09:02:44.790000-06:00,0.25,800,1000,5,0,0
2019-01-12 09:02:41.440000-06:00,2019-01-12 09:02:43.890000-06:00,0.5,400,600,6,0,0
2019-01-12 09:02:41.440000-06:00,2019-01-12 09:02:44.790000-06:00,0.4545454545454546,550,800,6,0,0
2019-01-12 09:02:50.190000-06:00,2019-01-12 09:02:52.540000-06:00,0.09090909090909083,550,600,5,0,0
2019-01-12 09:03:29.990000-06:00,2019-01-12 09:03:33.240000-06:00,0.36363636363636354,550,750,6,0,0
2019-01-12 09:03:30.540000-06:00,2019-01-12 09:03:33.240000-06:00,0.25,600,750,5,0,0
2019-01-12 09:03:30.540000-06:00,2019-01-12 09:03:35.890000-06:00,0.46153846153846145,650,950,8,0,0
2019-01-12 09:03:31.490000-06:00,2019-01-12 09:03:34.390000-06:00,0.5555555555555556,450,700,6,0,0
2019-01-12 09:03:37.190000-06:00,2019-01-12 09:03:39.640000-06:00,0.5555555555555556,450,700,5,0,0
2019-01-12 09:03:37.840000-06:00,2019-01-12 09:03:41.940000-06:00,0.2941176470588236,850,1100,5,0,0
2019-01-12 09:03:38.940000-06:00,2019-01-12 09:03:43.940000-06:00,0.2857142857142858,700,900,7,0,0
2019-01-12 09:03:38.940000-06:00,2019-01-12 09:03:50.240000-06:00,0.4285714285714286,700,1000,14,0,0
2019-01-12 09:03:40.640000-06:00,2019-01-12 09:03:43.090000-06:00,0.5,400,600,6,0,0
2019-01-12 09:03:42.240000-06:00,2019-01-12 09:03:48.940000-06:00,0.2941176470588236,850,1100,8,0,0
2019-01-12 09:03:44.890000-06:00,2019-01-12 09:03:47.940000-06:00,0.33333333333333326,450,600,7,0,0
2019-01-12 09:03:44.890000-06:00,2019-01-12 09:03:47.940000-06:00,0.5,500,750,6,0,0
2019-01-12 09:03:45.990000-06:00,2019-01-12 09:03:50.240000-06:00,0.4545454545454546,550,800,7,0,0
2019-01-12 09:03:46.440000-06:00,2019-01-12 09:03:50.240000-06:00,0.3076923076923077,650,850,6,0,0
2019-01-12 09:03:52.390000-06:00,2019-01-12 09:04:29.440000-06:00,0.5384615384615385,650,1000,48,0,0
2019-01-12 09:03:52.390000-06:00,2019-01-12 09:04:29.640000-06:00,0.46666666666666656,750,1100,42,0,0
2019-01-12 09:03:53.340000-06:00,2019-01-12 09:04:21.340000-06:00,0.5,500,750,46,0,0
2019-01-12 09:03:53.340000-06:00,2019-01-12 09:04:21.340000-06:00,0.4545454545454546,550,800,45,0,0
2019-01-12 09:03:53.340000-06:00,2019-01-12 09:04:21.340000-06:00,0.5,600,900,42,0,0
2019-01-12 09:03:54.090000-06:00,2019-01-12 09:03:57.890000-06:00,0.5,400,600,8,0,0
2019-01-12 09:03:54.090000-06:00,2019-01-12 09:04:05.590000-06:00,0.5555555555555556,450,700,22,0,0
2019-01-12 09:03:58.240000-06:00,2019-01-12 09:04:01.240000-06:00,0.5,400,600,7,0,0
2019-01-12 09:04:01.590000-06:00,2019-01-12 09:04:05.590000-06:00,0.22222222222222232,450,550,9,0,0
2019-01-12 09:04:08.640000-06:00,2019-01-12 09:04:12.440000-06:00,0.2727272727272727,550,700,7,0,0
2019-01-12 09:04:10.040000-06:00,2019-01-12 09:04:12.440000-06:00,0.375,400,550,6,0,0
2019-01-12 09:04:12.790000-06:00,2019-01-12 09:04:21.340000-06:00,0.5,400,600,18,0,0
2019-01-12 09:04:12.790000-06:00,2019-01-12 09:04:21.340000-06:00,0.4444444444444444,450,650,18,0,0
2019-01-12 09:04:22.340000-06:00,2019-01-12 09:04:27.890000-06:00,0.375,400,550,13,0,0
2019-01-12 09:04:22.340000-06:00,2019-01-12 09:04:28.540000-06:00,0.4444444444444444,450,650,13,0,0
2019-01-12 09:04:22.340000-06:00,2019-01-12 09:04:28.540000-06:00,0.3999999999999999,500,700,11,0,0
2019-01-12 09:04:22.340000-06:00,2019-01-12 09:04:29.340000-06:00,0.33333333333333326,600,800,11,0,0
2019-01-12 09:04:22.340000-06:00,2019-01-12 09:04:29.440000-06:00,0.5,600,900,11,0,0
2019-01-12 09:04:31.090000-06:00,2019-01-12 09:04:46.390000-06:00,0.5,600,900,22,0,0
2019-01-12 09:04:31.090000-06:00,2019-01-12 09:04:46.390000-06:00,0.5384615384615385,650,1000,20,0,0
2019-01-12 09:04:31.090000-06:00,2019-01-12 09:05:31.740000-06:00,0.46666666666666656,750,1100,69,0,0
2019-01-12 09:04:31.290000-06:00,2019-01-12 09:04:46.140000-06:00,0.4545454545454546,550,800,23,0,0
2019-01-12 09:04:31.440000-06:00,2019-01-12 09:04:43.240000-06:00,0.5,500,750,19,0,0
2019-01-12 09:04:32.190000-06:00,2019-01-12 09:04:38.640000-06:00,0.5,400,600,14,0,0
2019-01-12 09:04:32.190000-06:00,2019-01-12 09:04:38.640000-06:00,0.5555555555555556,450,700,12,0,0
2019-01-12 09:04:38.840000-06:00,2019-01-12 09:04:46.590000-06:00,0.5555555555555556,450,700,14,0,0
2019-01-12 09:04:39.540000-06:00,2019-01-12 09:04:43.240000-06:00,0.5,400,600,8,0,0
2019-01-12 09:04:43.440000-06:00,2019-01-12 09:04:46.140000-06:00,0.25,600,750,5,0,0
2019-01-12 09:04:46.590000-06:00,2019-01-12 09:05:07.440000-06:00,0.5,600,900,29,0,0
2019-01-12 09:04:46.590000-06:00,2019-01-12 09:05:31.740000-06:00,0.5384615384615385,650,1000,57,0,0
2019-01-12 09:04:47.790000-06:00,2019-01-12 09:04:50.940000-06:00,0.375,400,550,8,0,0
2019-01-12 09:04:47.790000-06:00,2019-01-12 09:04:59.340000-06:00,0.5,500,750,19,0,0
2019-01-12 09:04:47.790000-06:00,2019-01-12 09:05:04.240000-06:00,0.4545454545454546,550,800,25,0,0
2019-01-12 09:04:48.590000-06:00,2019-01-12 09:04:56.640000-06:00,0.3999999999999999,500,700,14,0,0
