start,end,prox_eps,prox_pmin,prox_pmax,prox_length,chewing_gt,date_exp
2019-01-28 12:14:35.130000-06:00,2019-01-28 12:14:37.130000-06:00,0.22222222222222232,450,550,5,0,0
2019-01-28 12:14:35.130000-06:00,2019-01-28 12:14:37.280000-06:00,0.5555555555555556,450,700,5,0,0
2019-01-28 12:14:45.980000-06:00,2019-01-28 12:14:49.680000-06:00,0.41666666666666674,600,850,6,0,0
2019-01-28 12:14:46.530000-06:00,2019-01-28 12:14:55.630000-06:00,0.46153846153846145,650,950,12,0,0
2019-01-28 12:14:47.230000-06:00,2019-01-28 12:14:55.880000-06:00,0.46666666666666656,750,1100,11,0,0
2019-01-28 12:14:48.280000-06:00,2019-01-28 12:14:50.780000-06:00,0.18181818181818188,550,650,5,0,0
2019-01-28 12:14:49.880000-06:00,2019-01-28 12:14:55.630000-06:00,0.3846153846153846,650,900,8,0,0
2019-01-28 12:14:51.880000-06:00,2019-01-28 12:14:55.880000-06:00,0.5,500,750,7,0,0
2019-01-28 12:14:51.880000-06:00,2019-01-28 12:14:55.380000-06:00,0.4545454545454546,550,800,6,0,0
2019-01-28 12:14:57.630000-06:00,2019-01-28 12:15:00.030000-06:00,0.5555555555555556,450,700,5,0,0
2019-01-28 12:14:57.630000-06:00,2019-01-28 12:15:06.830000-06:00,0.46666666666666656,750,1100,11,0,0
2019-01-28 12:14:57.880000-06:00,2019-01-28 12:15:02.030000-06:00,0.4545454545454546,550,800,7,0,0
2019-01-28 12:14:57.880000-06:00,2019-01-28 12:15:02.030000-06:00,0.125,800,900,6,0,0
2019-01-28 12:14:57.880000-06:00,2019-01-28 12:15:06.830000-06:00,0.46153846153846145,650,950,12,0,0
2019-01-28 12:14:58.080000-06:00,2019-01-28 12:15:05.930000-06:00,0.5,500,750,14,0,0
2019-01-28 12:15:00.380000-06:00,2019-01-28 12:15:05.930000-06:00,0.5,400,600,12,0,0
2019-01-28 12:15:00.780000-06:00,2019-01-28 12:15:05.930000-06:00,0.5555555555555556,450,700,10,0,0
2019-01-28 12:15:02.430000-06:00,2019-01-28 12:15:05.930000-06:00,0.18181818181818188,550,650,7,0,0
2019-01-28 12:15:02.430000-06:00,2019-01-28 12:15:06.830000-06:00,0.5,600,900,7,0,0
2019-01-28 12:15:11.380000-06:00,2019-01-28 12:15:17.030000-06:00,0.375,800,1100,7,0,0
2019-01-28 12:15:20.430000-06:00,2019-01-28 12:15:22.630000-06:00,0.4444444444444444,450,650,5,0,0
2019-01-28 12:15:20.430000-06:00,2019-01-28 12:15:25.680000-06:00,0.5,600,900,8,0,0
2019-01-28 12:15:20.430000-06:00,2019-01-28 12:15:34.530000-06:00,0.5384615384615385,650,1000,18,0,0
2019-01-28 12:15:20.680000-06:00,2019-01-28 12:15:22.630000-06:00,0.5,400,600,5,0,0
2019-01-28 12:15:20.680000-06:00,2019-01-28 12:15:54.630000-06:00,0.46666666666666656,750,1100,39,0,0
