start,end,prox_eps,prox_pmin,prox_pmax,prox_length,chewing_gt,date_exp
2019-01-24 07:58:23.460000-06:00,2019-01-24 07:58:27.260000-06:00,0.5,500,750,7,0,0
2019-01-24 07:58:23.460000-06:00,2019-01-24 07:58:29.010000-06:00,0.3999999999999999,750,1050,7,0,0
2019-01-24 07:58:23.660000-06:00,2019-01-24 07:58:26.610000-06:00,0.375,400,550,7,0,0
2019-01-24 07:58:23.660000-06:00,2019-01-24 07:58:26.610000-06:00,0.3999999999999999,500,700,6,0,0
2019-01-24 07:58:23.660000-06:00,2019-01-24 07:58:30.460000-06:00,0.3846153846153846,650,900,10,0,0
2019-01-24 07:58:23.760000-06:00,2019-01-24 07:58:28.110000-06:00,0.4545454545454546,550,800,7,0,0
2019-01-24 07:58:29.710000-06:00,2019-01-24 07:58:38.110000-06:00,0.375,800,1100,10,0,0
2019-01-24 07:58:30.810000-06:00,2019-01-24 07:58:35.210000-06:00,0.25,800,1000,6,0,0
2019-01-24 07:58:32.610000-06:00,2019-01-24 07:58:35.210000-06:00,0.33333333333333326,450,600,6,0,0
2019-01-24 07:58:36.310000-06:00,2019-01-24 07:58:48.910000-06:00,0.5384615384615385,650,1000,16,0,0
2019-01-24 07:58:36.560000-06:00,2019-01-24 07:58:40.160000-06:00,0.23076923076923084,650,800,6,0,0
2019-01-24 07:58:36.560000-06:00,2019-01-24 07:58:41.060000-06:00,0.3846153846153846,650,900,7,0,0
2019-01-24 07:58:39.260000-06:00,2019-01-24 07:58:49.210000-06:00,0.3999999999999999,750,1050,12,0,0
2019-01-24 07:58:42.210000-06:00,2019-01-24 07:58:45.460000-06:00,0.3846153846153846,650,900,5,0,0
2019-01-24 07:58:43.010000-06:00,2019-01-24 07:58:46.960000-06:00,0.5555555555555556,450,700,8,0,0
2019-01-24 07:58:44.110000-06:00,2019-01-24 07:58:46.960000-06:00,0.23076923076923084,650,800,5,0,0
2019-01-24 07:58:45.460000-06:00,2019-01-24 07:58:47.860000-06:00,0.375,400,550,6,0,0
2019-01-24 07:58:45.760000-06:00,2019-01-24 07:58:48.910000-06:00,0.3076923076923077,650,850,5,0,0
2019-01-24 07:58:47.360000-06:00,2019-01-24 07:58:50.710000-06:00,0.4545454545454546,550,800,6,0,0
2019-01-24 07:58:48.160000-06:00,2019-01-24 07:58:50.710000-06:00,0.36363636363636354,550,750,5,0,0
2019-01-24 07:58:52.760000-06:00,2019-01-24 07:58:55.760000-06:00,0.3846153846153846,650,900,5,0,0
2019-01-24 07:58:52.760000-06:00,2019-01-24 07:58:56.960000-06:00,0.3571428571428572,700,950,6,0,0
2019-01-24 07:59:06.660000-06:00,2019-01-24 07:59:08.910000-06:00,0.375,400,550,6,0,0
2019-01-24 07:59:07.060000-06:00,2019-01-24 07:59:14.860000-06:00,0.46666666666666656,750,1100,9,0,0
2019-01-24 07:59:07.560000-06:00,2019-01-24 07:59:12.310000-06:00,0.4545454545454546,550,800,8,0,0
2019-01-24 07:59:08.110000-06:00,2019-01-24 07:59:11.160000-06:00,0.23076923076923084,650,800,5,0,0
2019-01-24 07:59:08.110000-06:00,2019-01-24 07:59:11.710000-06:00,0.25,800,1000,5,0,0
2019-01-24 07:59:10.710000-06:00,2019-01-24 07:59:13.810000-06:00,0.5,400,600,7,0,0
2019-01-24 07:59:10.710000-06:00,2019-01-24 07:59:12.810000-06:00,0.33333333333333326,450,600,5,0,0
2019-01-24 07:59:14.860000-06:00,2019-01-24 07:59:18.610000-06:00,0.5,500,750,7,0,0
2019-01-24 07:59:14.860000-06:00,2019-01-24 07:59:17.460000-06:00,0.36363636363636354,550,750,5,0,0
2019-01-24 07:59:16.160000-06:00,2019-01-24 07:59:18.610000-06:00,0.3999999999999999,500,700,5,0,0
2019-01-24 07:59:23.410000-06:00,2019-01-24 07:59:26.210000-06:00,0.41666666666666674,600,850,5,0,0
2019-01-24 07:59:23.410000-06:00,2019-01-24 07:59:28.310000-06:00,0.46666666666666656,750,1100,6,0,0
2019-01-24 07:59:29.510000-06:00,2019-01-24 07:59:33.010000-06:00,0.09090909090909083,550,600,7,0,0
2019-01-24 07:59:29.510000-06:00,2019-01-24 07:59:35.060000-06:00,0.3999999999999999,500,700,10,0,0
2019-01-24 07:59:29.510000-06:00,2019-01-24 07:59:35.060000-06:00,0.36363636363636354,550,750,10,0,0
2019-01-24 07:59:29.510000-06:00,2019-01-24 07:59:35.860000-06:00,0.4545454545454546,550,800,11,0,0
2019-01-24 07:59:29.510000-06:00,2019-01-24 07:59:32.560000-06:00,0.08333333333333326,600,650,6,0,0
2019-01-24 07:59:33.010000-06:00,2019-01-24 07:59:38.260000-06:00,0.5,600,900,8,0,0
