start,end,prox_eps,prox_pmin,prox_pmax,prox_length,chewing_gt,date_exp
2019-02-07 16:03:14.600000-06:00,2019-02-07 16:03:17.900000-06:00,0.2857142857142858,700,900,5,0,0
2019-02-07 16:03:14.850000-06:00,2019-02-07 16:03:17.900000-06:00,0.5555555555555556,450,700,6,0,0
2019-02-07 16:04:12.950000-06:00,2019-02-07 16:04:16.600000-06:00,0.5,400,600,8,0,0
2019-02-07 16:04:12.950000-06:00,2019-02-07 16:04:18.600000-06:00,0.23529411764705888,850,1050,7,0,0
2019-02-07 16:04:14.050000-06:00,2019-02-07 16:04:17.400000-06:00,0.5384615384615385,650,1000,5,0,0
2019-02-07 16:04:15.050000-06:00,2019-02-07 16:04:17.250000-06:00,0.30000000000000004,500,650,5,0,0
2019-02-07 16:04:28.650000-06:00,2019-02-07 16:04:30.850000-06:00,0.33333333333333326,450,600,5,0,0
2019-02-07 16:04:39.550000-06:00,2019-02-07 16:04:42.250000-06:00,0.4545454545454546,550,800,5,0,0
2019-02-07 16:04:39.550000-06:00,2019-02-07 16:04:51.400000-06:00,0.5,600,900,17,0,0
2019-02-07 16:04:42.250000-06:00,2019-02-07 16:04:50-06:00,0.46153846153846145,650,950,11,0,0
2019-02-07 16:04:42.250000-06:00,2019-02-07 16:04:47.150000-06:00,0.19999999999999996,750,900,7,0,0
2019-02-07 16:04:42.600000-06:00,2019-02-07 16:04:49.150000-06:00,0.33333333333333326,600,800,10,0,0
2019-02-07 16:04:47.500000-06:00,2019-02-07 16:04:55-06:00,0.375,800,1100,9,0,0
2019-02-07 16:04:49.500000-06:00,2019-02-07 16:04:52.450000-06:00,0.3999999999999999,500,700,6,0,0
2019-02-07 16:04:51.750000-06:00,2019-02-07 16:04:55-06:00,0.3571428571428572,700,950,5,0,0
2019-02-07 16:05:12.550000-06:00,2019-02-07 16:05:15-06:00,0.08333333333333326,600,650,5,0,0
2019-02-07 16:05:12.550000-06:00,2019-02-07 16:05:16.700000-06:00,0.41666666666666674,600,850,7,0,0
2019-02-07 16:05:14.400000-06:00,2019-02-07 16:05:16.700000-06:00,0.5,400,600,6,0,0
2019-02-07 16:05:19.400000-06:00,2019-02-07 16:05:30.200000-06:00,0.46666666666666656,750,1100,13,0,0
2019-02-07 16:05:20.500000-06:00,2019-02-07 16:05:30.500000-06:00,0.4545454545454546,550,800,15,0,0
2019-02-07 16:05:20.750000-06:00,2019-02-07 16:05:23.250000-06:00,0.375,400,550,6,0,0
2019-02-07 16:05:20.750000-06:00,2019-02-07 16:05:30.500000-06:00,0.46153846153846145,650,950,14,0,0
2019-02-07 16:05:20.900000-06:00,2019-02-07 16:05:30.500000-06:00,0.3846153846153846,650,900,14,0,0
