start,end,prox_eps,prox_pmin,prox_pmax,prox_length,chewing_gt,date_exp
2019-04-07 10:20:00.480000-05:00,2019-04-07 10:20:03.130000-05:00,0.2727272727272727,550,700,5,0,0
2019-04-07 10:20:00.480000-05:00,2019-04-07 10:20:06.630000-05:00,0.4545454545454546,550,800,10,0,0
2019-04-07 10:20:01.030000-05:00,2019-04-07 10:20:03.930000-05:00,0.1428571428571428,700,800,5,0,0
2019-04-07 10:20:01.030000-05:00,2019-04-07 10:20:06.630000-05:00,0.4285714285714286,700,1000,8,0,0
2019-04-07 10:20:01.030000-05:00,2019-04-07 10:20:06.630000-05:00,0.375,800,1100,7,0,0
2019-04-07 10:20:03.930000-05:00,2019-04-07 10:20:06.630000-05:00,0.4444444444444444,450,650,6,0,0
2019-04-07 10:20:03.930000-05:00,2019-04-07 10:20:06.630000-05:00,0.36363636363636354,550,750,5,0,0
2019-04-07 10:20:11.480000-05:00,2019-04-07 10:21:00.680000-05:00,0.5,600,900,70,0,0
2019-04-07 10:20:11.480000-05:00,2019-04-07 10:21:05.380000-05:00,0.5384615384615385,650,1000,72,0,0
2019-04-07 10:20:11.480000-05:00,2019-04-07 10:21:01.930000-05:00,0.46666666666666656,750,1100,58,0,0
2019-04-07 10:20:12.330000-05:00,2019-04-07 10:20:14.880000-05:00,0.33333333333333326,450,600,6,0,0
2019-04-07 10:20:15.230000-05:00,2019-04-07 10:20:17.780000-05:00,0.5,500,750,5,0,0
2019-04-07 10:20:18.130000-05:00,2019-04-07 10:20:22.180000-05:00,0.5,400,600,9,0,0
2019-04-07 10:20:18.130000-05:00,2019-04-07 10:20:31.780000-05:00,0.5555555555555556,450,700,24,0,0
2019-04-07 10:20:18.130000-05:00,2019-04-07 10:20:40.130000-05:00,0.5,500,750,36,0,0
2019-04-07 10:20:18.130000-05:00,2019-04-07 10:21:03.180000-05:00,0.4545454545454546,550,800,70,0,0
2019-04-07 10:20:22.430000-05:00,2019-04-07 10:20:30.480000-05:00,0.5,400,600,17,0,0
2019-04-07 10:20:31.880000-05:00,2019-04-07 10:20:40.130000-05:00,0.5555555555555556,450,700,16,0,0
2019-04-07 10:20:32.580000-05:00,2019-04-07 10:20:40.130000-05:00,0.5,400,600,17,0,0
2019-04-07 10:20:40.480000-05:00,2019-04-07 10:20:43.180000-05:00,0.33333333333333326,450,600,6,0,0
2019-04-07 10:20:40.480000-05:00,2019-04-07 10:20:46.930000-05:00,0.5555555555555556,450,700,13,0,0
2019-04-07 10:20:40.480000-05:00,2019-04-07 10:21:00.880000-05:00,0.5,500,750,34,0,0
2019-04-07 10:20:43.880000-05:00,2019-04-07 10:20:46.930000-05:00,0.22222222222222232,450,550,7,0,0
2019-04-07 10:20:47.130000-05:00,2019-04-07 10:21:00.880000-05:00,0.5,400,600,29,0,0
2019-04-07 10:20:47.130000-05:00,2019-04-07 10:21:00.880000-05:00,0.5555555555555556,450,700,26,0,0
2019-04-07 10:21:00.880000-05:00,2019-04-07 10:21:05.380000-05:00,0.3076923076923077,650,850,7,0,0
2019-04-07 10:21:01.680000-05:00,2019-04-07 10:21:04.580000-05:00,0.5555555555555556,450,700,6,0,0
2019-04-07 10:21:07.730000-05:00,2019-04-07 10:21:10.830000-05:00,0.1428571428571428,700,800,5,0,0
2019-04-07 10:21:26.430000-05:00,2019-04-07 10:21:32.630000-05:00,0.4444444444444444,450,650,12,0,0
2019-04-07 10:21:26.730000-05:00,2019-04-07 10:21:32.630000-05:00,0.3999999999999999,500,700,11,0,0
2019-04-07 10:21:26.730000-05:00,2019-04-07 10:21:30.530000-05:00,0.2727272727272727,550,700,7,0,0
2019-04-07 10:21:26.730000-05:00,2019-04-07 10:21:40.430000-05:00,0.46666666666666656,750,1100,15,0,0
2019-04-07 10:21:29.230000-05:00,2019-04-07 10:21:34.180000-05:00,0.41666666666666674,600,850,8,0,0
2019-04-07 10:21:30.530000-05:00,2019-04-07 10:21:33.430000-05:00,0.5,400,600,7,0,0
2019-04-07 10:21:31.130000-05:00,2019-04-07 10:21:39.380000-05:00,0.4285714285714286,700,1000,10,0,0
2019-04-07 10:21:31.980000-05:00,2019-04-07 10:21:34.730000-05:00,0.4545454545454546,550,800,5,0,0
2019-04-07 10:21:35.680000-05:00,2019-04-07 10:21:38.030000-05:00,0.375,400,550,6,0,0
2019-04-07 10:21:36.180000-05:00,2019-04-07 10:21:39.380000-05:00,0.2857142857142858,700,900,5,0,0
2019-04-07 10:21:36.680000-05:00,2019-04-07 10:21:39.380000-05:00,0.4545454545454546,550,800,5,0,0
2019-04-07 10:21:43.130000-05:00,2019-04-07 10:21:52.780000-05:00,0.5384615384615385,650,1000,13,0,0
2019-04-07 10:21:44.130000-05:00,2019-04-07 10:21:47.830000-05:00,0.5555555555555556,450,700,7,0,0
2019-04-07 10:21:44.130000-05:00,2019-04-07 10:21:47.830000-05:00,0.23076923076923084,650,800,6,0,0
2019-04-07 10:21:44.130000-05:00,2019-04-07 10:21:49.430000-05:00,0.3076923076923077,650,850,8,0,0
2019-04-07 10:21:44.780000-05:00,2019-04-07 10:21:51.180000-05:00,0.3125,800,1050,8,0,0
2019-04-07 10:21:45.580000-05:00,2019-04-07 10:21:47.630000-05:00,0.22222222222222232,450,550,5,0,0
