start,end,prox_eps,prox_pmin,prox_pmax,prox_length,chewing_gt,date_exp
2019-02-03 11:30:43.160000-06:00,2019-02-03 11:30:46.010000-06:00,0.23076923076923084,650,800,5,0,0
2019-02-03 11:30:43.160000-06:00,2019-02-03 11:30:47.960000-06:00,0.3846153846153846,650,900,7,0,0
2019-02-03 11:30:43.160000-06:00,2019-02-03 11:30:47.960000-06:00,0.1333333333333333,750,850,7,0,0
2019-02-03 11:32:22.060000-06:00,2019-02-03 11:32:25.510000-06:00,0.33333333333333326,750,1000,5,0,0
2019-02-03 11:32:30.210000-06:00,2019-02-03 11:32:34.610000-06:00,0.5,600,900,7,0,0
2019-02-03 11:32:30.210000-06:00,2019-02-03 11:32:34.610000-06:00,0.3076923076923077,650,850,7,0,0
2019-02-03 11:32:30.210000-06:00,2019-02-03 11:32:34.610000-06:00,0.375,800,1100,6,0,0
2019-02-03 11:32:31.060000-06:00,2019-02-03 11:32:34.460000-06:00,0.5,400,600,8,0,0
2019-02-03 11:32:31.060000-06:00,2019-02-03 11:32:34.610000-06:00,0.23076923076923084,650,800,6,0,0
2019-02-03 11:32:31.910000-06:00,2019-02-03 11:32:34.610000-06:00,0.25,600,750,5,0,0
2019-02-03 11:33:08.560000-06:00,2019-02-03 11:33:12.710000-06:00,0.22222222222222232,900,1100,5,0,0
2019-02-03 11:33:08.710000-06:00,2019-02-03 11:33:14.210000-06:00,0.3846153846153846,650,900,8,0,0
2019-02-03 11:33:08.710000-06:00,2019-02-03 11:33:15.210000-06:00,0.5384615384615385,650,1000,9,0,0
2019-02-03 11:33:09.610000-06:00,2019-02-03 11:33:11.810000-06:00,0.4444444444444444,450,650,5,0,0
2019-02-03 11:33:15.560000-06:00,2019-02-03 11:33:28.460000-06:00,0.4285714285714286,700,1000,16,0,0
2019-02-03 11:33:15.560000-06:00,2019-02-03 11:33:30.410000-06:00,0.46666666666666656,750,1100,18,0,0
2019-02-03 11:33:18.310000-06:00,2019-02-03 11:33:25.610000-06:00,0.2857142857142858,700,900,10,0,0
2019-02-03 11:33:18.560000-06:00,2019-02-03 11:33:24.810000-06:00,0.5,500,750,11,0,0
2019-02-03 11:33:18.560000-06:00,2019-02-03 11:33:25.610000-06:00,0.4545454545454546,550,800,11,0,0
2019-02-03 11:33:19.310000-06:00,2019-02-03 11:33:23.260000-06:00,0.5,400,600,9,0,0
2019-02-03 11:33:19.310000-06:00,2019-02-03 11:33:24.060000-06:00,0.5555555555555556,450,700,9,0,0
2019-02-03 11:33:25.810000-06:00,2019-02-03 11:33:30.410000-06:00,0.41666666666666674,600,850,7,0,0
2019-02-03 11:33:26.060000-06:00,2019-02-03 11:33:29.560000-06:00,0.33333333333333326,600,800,6,0,0
2019-02-03 11:33:32.210000-06:00,2019-02-03 11:33:35.510000-06:00,0.5555555555555556,450,700,7,0,0
2019-02-03 11:33:41.610000-06:00,2019-02-03 11:33:47.210000-06:00,0.5,400,600,12,0,0
2019-02-03 11:33:41.610000-06:00,2019-02-03 11:33:47.210000-06:00,0.5555555555555556,450,700,11,0,0
2019-02-03 11:33:41.610000-06:00,2019-02-03 11:33:47.210000-06:00,0.4545454545454546,550,800,9,0,0
2019-02-03 11:33:41.610000-06:00,2019-02-03 11:33:47.210000-06:00,0.5,600,900,8,0,0
2019-02-03 11:33:41.610000-06:00,2019-02-03 11:33:47.210000-06:00,0.46153846153846145,650,950,8,0,0
2019-02-03 11:33:41.610000-06:00,2019-02-03 11:33:47.210000-06:00,0.46666666666666656,750,1100,7,0,0
2019-02-03 11:33:41.710000-06:00,2019-02-03 11:33:45.610000-06:00,0.2727272727272727,550,700,7,0,0
2019-02-03 11:33:52.360000-06:00,2019-02-03 11:33:57.260000-06:00,0.18181818181818188,550,650,9,0,0
2019-02-03 11:33:52.360000-06:00,2019-02-03 11:33:57.260000-06:00,0.41666666666666674,600,850,8,0,0
2019-02-03 11:33:52.360000-06:00,2019-02-03 11:33:57.260000-06:00,0.5384615384615385,650,1000,7,0,0
2019-02-03 11:33:52.610000-06:00,2019-02-03 11:33:57.260000-06:00,0.23529411764705888,850,1050,6,0,0
2019-02-03 11:34:23.560000-06:00,2019-02-03 11:34:26.160000-06:00,0.4545454545454546,550,800,5,0,0
2019-02-03 11:34:23.810000-06:00,2019-02-03 11:34:26.160000-06:00,0.18181818181818188,550,650,5,0,0
2019-02-03 11:34:23.810000-06:00,2019-02-03 11:34:27.410000-06:00,0.25,800,1000,5,0,0
2019-02-03 11:34:26.510000-06:00,2019-02-03 11:34:29.510000-06:00,0.5,600,900,5,0,0
2019-02-03 11:34:53.060000-06:00,2019-02-03 11:34:55.960000-06:00,0.3076923076923077,650,850,5,0,0
2019-02-03 11:34:53.060000-06:00,2019-02-03 11:34:56.160000-06:00,0.46153846153846145,650,950,5,0,0
2019-02-03 11:35:10.010000-06:00,2019-02-03 11:35:12.210000-06:00,0.33333333333333326,450,600,5,0,0
2019-02-03 11:35:17.410000-06:00,2019-02-03 11:35:24.260000-06:00,0.4545454545454546,550,800,11,0,0
2019-02-03 11:35:17.610000-06:00,2019-02-03 11:35:23.310000-06:00,0.36363636363636354,550,750,10,0,0
2019-02-03 11:35:17.860000-06:00,2019-02-03 11:35:24.260000-06:00,0.46153846153846145,650,950,9,0,0
2019-02-03 11:35:17.860000-06:00,2019-02-03 11:35:22.010000-06:00,0.22222222222222232,900,1100,5,0,0
2019-02-03 11:35:19.510000-06:00,2019-02-03 11:35:21.360000-06:00,0.5,400,600,5,0,0
2019-02-03 11:35:19.510000-06:00,2019-02-03 11:35:23.310000-06:00,0.2727272727272727,550,700,7,0,0
2019-02-03 11:35:19.860000-06:00,2019-02-03 11:35:24.260000-06:00,0.3076923076923077,650,850,7,0,0
2019-02-03 11:35:28.310000-06:00,2019-02-03 11:35:35.910000-06:00,0.4285714285714286,700,1000,10,0,0
2019-02-03 11:35:28.310000-06:00,2019-02-03 11:35:34.610000-06:00,0.10000000000000009,1000,1100,7,0,0
2019-02-03 11:35:29.510000-06:00,2019-02-03 11:35:35.910000-06:00,0.2142857142857142,700,850,9,0,0
2019-02-03 11:35:30.260000-06:00,2019-02-03 11:35:33.560000-06:00,0.33333333333333326,450,600,7,0,0
2019-02-03 11:35:30.510000-06:00,2019-02-03 11:35:33.560000-06:00,0.2727272727272727,550,700,6,0,0
2019-02-03 11:35:30.510000-06:00,2019-02-03 11:35:35.060000-06:00,0.4545454545454546,550,800,8,0,0
2019-02-03 11:35:37.110000-06:00,2019-02-03 11:35:40.860000-06:00,0.4545454545454546,550,800,7,0,0
2019-02-03 11:35:37.360000-06:00,2019-02-03 11:35:40.860000-06:00,0.18181818181818188,550,650,7,0,0
2019-02-03 11:35:37.360000-06:00,2019-02-03 11:35:50.260000-06:00,0.5384615384615385,650,1000,16,0,0
2019-02-03 11:35:39.760000-06:00,2019-02-03 11:35:46.360000-06:00,0.46666666666666656,750,1100,8,0,0
