Time,proximity,ambient,leanForward,qW,qX,qY,qZ,aX,aY,aZ,power,cal
1553604721600,2622.0,54.0,94.96442447000432,0.62066650390625,0.66192626953125,-0.32421875,-0.26739501953125,-0.75390625,0.984375,0.6015625,1.8992462158203125,3.0
1553604721650,2627.0,54.0,97.74990844726562,0.61566162109375,0.70098876953125,-0.2757568359375,-0.23138427734375,0.359375,2.0703125,-0.26171875,4.4838409423828125,3.0
1553604721700,2629.0,54.0,101.66654968261719,0.598876953125,0.73992919921875,-0.2315673828125,-0.20062255859375,1.21484375,0.8125,0.72265625,2.658233642578125,3.0
1553604721750,2624.0,49.0,102.92762756347656,0.59356689453125,0.75714111328125,-0.196533203125,-0.1893310546875,1.46484375,1.21484375,1.04296875,4.7093963623046875,3.0
1553604721800,2630.0,49.0,104.28270721435547,0.58807373046875,0.771728515625,-0.1666259765625,-0.17547607421875,1.25,0.28125,0.09375,1.650390625,3.0
1553604721850,2629.0,49.0,103.96549987792969,0.5950927734375,0.7760009765625,-0.1358642578125,-0.15863037109375,1.62890625,0.23828125,0.66796875,3.1562957763671875,3.0
1553604721900,2626.0,49.0,101.53256225585938,0.6181640625,0.7672119140625,-0.10662841796875,-0.1339111328125,1.78515625,-2.57421875,-0.0390625,9.81488037109375,3.0
1553604721950,2624.0,49.0,87.17596435546875,0.71142578125,0.68603515625,-0.06884765625,-0.1361083984375,1.78125,-1.49609375,0.359375,5.5402984619140625,3.0
1553604722000,2623.0,49.0,80.303955078125,0.7489013671875,0.64373779296875,-0.03704833984375,-0.15277099609375,0.64453125,-0.89453125,-1.95703125,5.0455780029296875,3.0
1553604722050,2610.0,49.0,75.87008666992188,0.771240234375,0.6129150390625,-0.04736328125,-0.16497802734375,1.6015625,-0.28515625,0.05859375,2.649749755859375,3.0
1553604722100,2622.0,49.0,75.49321365356445,0.77239990234375,0.60919189453125,-0.06048583984375,-0.1693115234375,1.203125,0.0859375,-0.5,1.70489501953125,3.0
1553604722150,2621.7999992370605,49.0,77.57362365722656,0.7599243521690369,0.6197386980056763,-0.09083247184753418,-0.17314445972442627,1.0890655517578125,2.6164016723632812,1.0187492370605469,9.9537353515625,3.0
1553604722200,2622.1666564941406,49.0,74.69294738769531,0.7696431279182434,0.5972188711166382,-0.10528564453125,-0.19829308986663818,0.0234375,1.1360664367675781,0.4505195617675781,1.9638175964355469,3.0
1553604722250,2628.0,49.0,70.60018920898438,0.7833251953125,0.564208984375,-0.12481689453125,-0.22906494140625,1.0390625,0.390625,-0.421875,1.41021728515625,3.0
